Statements,Labels
"The San Diego Padres ended their season with a 24-inning scoreless streak, their longest such streak of the season.",Record
India set a challenging target of 170 against South Africa in the fourth T20I of the five-match series.,Non Record
The Tigers earned their second series win in the last 13 against Boston and won the season series for the first time since 2017.,Record
Brayan Rocchio has recorded at least one hit in each of the Guardians' last eight games against AL opponents.,Record
"In the 2nd inning, Gurriel Jr. singled to right, Walker scored.",Non Record
Sri Lanka went with five bowlers,Non Record
Jason Holder achieved a career-best return of five for 27 in 2.5 overs.,Record
Raza is the third highest run-scorer in T20Is this year and has the second-best strike rate - 155.23 - among the top 20 run-scorers this year,Record
Dusty Baker acknowledged the Astros' successful past four years despite the loss.,Non Record
"The game takes place at Nassau International Cricket Stadium on Long Island, New York.",Non Record
"The game was held at Wrigley Field, Chicago, Illinois.",Non Record
Morocco has already qualified for the Round of 16 but aims to finish first in Group F.,Non Record
Merrill Kelly struck out eight batters in 5 2/3 innings.,Non Record
Ravichandran Ashwin took 3 wickets for 22 runs,Non Record
Australia posted the highest score of the T20 World Cup to date with 201/7.,Record
Edwin Díaz worked the ninth inning for his 15th save.,Non Record
"Shohei Ohtani reached 400 total bases, becoming the first player to do so since 2001.",Record
Austria's victory marks their first win against Netherlands since May 1990.,Record
"Charlie Blackmon's 227th career home run, tying Carlos Gonzalez for fifth in franchise history",Record
"England's best bowling performance in T20 World Cup, bowling Oman out for just 47 runs.",Record
"The Indian bowlers had a field day bowling out Ireland for 96 but Rohit and the senior pros know that against Shaheen Shah Afridi, Mohammed Amir, Haris Rauf and Naseem Shah, the challenge will be very different.",Non Record
"Kyle Harrison expressed frustration over his performance, stating he felt great but got out of rhythm and didn't make as good of pitches as he'd like.",Non Record
Luis Severino acknowledged his mistakes in the second inning but felt he pitched well otherwise.,Non Record
Virat Kohli's maiden T20I century,Record
Sikandar Raza picked up three for 25 against Pakistan.,Non Record
"BETMGM SPORTSBOOK: LINE Astros -187, Athletics +156; over/under is 8 1/2 runs.",Non Record
Surya Kumar Yadav became the world's number one batsman in T20 Cricket.,Record
"The Dodgers will have Jack Flaherty (0-1, 6.75 ERA) start, pitting him against Kodai Senga (0-0, 4.50 ERA) for the Mets.",Non Record
"India are one of the only two teams in this World Cup who did not lose a game. Apart from the rain that hit the last match of the group stage against Canada, they won every single game of theirs.",Non Record
The White Sox scored five runs in the ninth inning to break a 2-2 tie.,Non Record
Yainer Diaz has hit a home run in five of the Astros' last eight night games against AL opponents that held a winning record.,Non Record
"Jos Buttler needed 19 more runs to become the ninth batter to score 1,000 runs in all T20s in 2024.",Record
Spencer Steer has scored at least one run in nine of his last 11 road appearances against the Cubs.,Record
Quinton de Kock's half-century off 22 balls equalled the fastest fifty of the tournament.,Record
"Taijuan Walker expressed his determination to keep going despite his struggles, stating, 'I feel good about myself. I feel confident in myself. Obviously, I want to keep going and keep working through it.'",Non Record
Garcia was the first player in LCS history to have both a Golden Sombrero and a home run.,Record
Adolis García stole second and scored on a pop-fly single by Mitch Garver.,Non Record
Shohei Ohtani became the first 50/50 player in MLB history with 50 home runs and 50 stolen bases.,Record
Luke Weaver picked up his fourth save and got out of a mess in the eighth inning.,Non Record
Adil Rashid took 2 wickets for 17 runs for England.,Non Record
England's Chris Woakes: 'We have lost a lot of games in Australia but to win here at the MCG is amazing.',Non Record
Arshdeep Singh set an unwanted record by bowling the most number of no-balls by an Indian bowler in a T20I series.,Record
Jacob Bethell took down Australia's premier spinner Adam Zampa.,Non Record
"White Sox lost for the 109th time this season, which is likely to be the most defeats in MLB history.",Record
"It marks the 17th playoff appearance in franchise history for the club with baseball’s longest World Series championship drought, a dry spell that dates back to 1948.",Record
Ohtani is expected to receive a warm ovation from Angels fans despite the team's decision not to re-sign him.,Non Record
Rafael Devers hit his 30th home run of the season and the 25th of his career against the Yankees.,Record
The Toronto Blue Jays are 66-71 this season and have lost three of their last four games.,Non Record
Jos Buttler scored 24* from 8 balls.,Non Record
The White Sox had their biggest offensive inning of the season during this match.,Record
"Mohammad Rizwan became the fastest player to score 3,000 T20I runs",Record
India's 176 for 7 was the most any team has scored in a World Cup final,Record
Sri Lanka completed the highest ever chase on this ground and the highest ever chase against Afghanistan in T20s.,Record
The Orioles extended their streak to 87 consecutive series of at least two decisions without being swept.,Record
"Atlanta's offense leads the majors in average, on-base percentage, slugging percentage, and runs.",Non Record
"Elly De La Cruz joined the 100 steals/100 extra-base hits club in his first two seasons in the big leagues, achieving this faster than anyone else.",Record
Colt Keith has recorded at least one RBI in five of the Tigers' last six games against AL Central opponents that held a losing record.,Record
"With both teams eyeing 2 points from this match, this match has the ingredients of being a thriller.",Non Record
New York Mets advanced in the playoffs for the first time since winning the 2015 National League pennant.,Record
Jarren Duran has recorded at least one RBI in each of the Red Sox's last five games as road underdogs against NL opponents.,Record
Dodgers catcher Will Smith was replaced by a pinch hitter in Game 5 after taking either a foul tip or a bat to his catching hand.,Non Record
"The game had an attendance of 35,308 at Yankee Stadium III.",Non Record
The 'Inning 1 UNDER 0.5 runs' market has hit in each of the Guardians' last three home games.,Non Record
Jose Miranda has recorded at least one Double in four of the Twins' last five games at Target Field against AL opponents that held a losing record.,Record
Arshdeep Singh is already India's joint-third-highest wicket-taker in the T20 World Cup with 20 wickets at a strike rate of 10.8.,Record
Pakistan scored 158 for 7 after being put in to bat first,Non Record
Aaron Judge hit a go-ahead grand slam in the seventh inning.,Non Record
"The Royals ended the 2024 season with 86 wins, a 30-win improvement from 2023.",Non Record
Arshdeep Singh became the first Indian bowler to bowl 3 no-balls in an over in T20Is.,Record
The Phillies entered the night with a 34-game winning streak when their starter pitched seven or more innings. It was the longest streak in franchise history and the second-longest streak in MLB history. The 1942 Cardinals won 42 in a row.,Record
Charlie Blackmon ties Carlos González for 5th on the Rockies' all-time home run list with his 227th home run,Record
Angels manager Ron Washington reflected on the need for a shutdown inning in the fifth but acknowledged the failure to achieve it.,Non Record
"124 wickets for Tim Southee, the most in all of T20I cricket",Record
"It’s the fourth sweep in postseason history for the Tigers, who previously swept the AL Championship Series in 1984, 2006 and 2012.",Record
Suryakumar Yadav scored the second-fastest T20I hundred by an Indian batter off 45 balls.,Record
George Springer has recorded at least one RBI in each of his last three appearances against AL Central opponents.,Record
Sri Lanka's total of 141 for 8 was the lowest total posted first at the SCG in this competition.,Record
Riley Greene has recorded at least one hit in each of his last eight appearances against AL Central opponents that held a losing record.,Record
Spencer Steer hit a two RBI single in the fifth inning.,Non Record
"These two top teams in world cricket could end up playing a high-quality game of cricket, which could end up in favour of India, owing to more of their players in form in comparison to Australia.",Non Record
Arshdeep Singh took two wickets for 34 runs.,Non Record
"Casey Mize worked as a reliever for the first time in his professional career, giving up one run on three hits and zero walks with four strikeouts across two innings.",Non Record
The Guardians have a solid overall team batting average of .238 and a strong bullpen.,Non Record
The Dodgers set a record for the most walks in a four-game stretch in one postseason or multiple postseasons with 31 walks in NLCS Games 1-4.,Record
Fernando Tatis Jr. homered to left center in the fifth inning.,Non Record
KL Rahul struck his 18th T20I half-century and became the fifth Indian batter to score 2000 runs in T20Is.,Record
"There is speculation about whether the Reds will make Martinez a qualifying offer, which has been in the $18-21,000,000 range in recent years.",Non Record
Williamson was expected to skip the third T20I to be played in Dunedin with the South Africa Test series at home approaching.,Non Record
Papua New Guinea recovered from 50-4 to post 136-8,Non Record
The A's will be closing the chapter on their time at the Oakland Coliseum and playing their home games at Sutter Health Park in West Sacramento for the 2025-27 seasons before a planned relocation to a new ballpark in Las Vegas.,Non Record
"The Cleveland Guardians are averaging 4.5 runs per game, while the Chicago White Sox are averaging 3.08 runs per game.",Non Record
Vladimir Guerrero Jr. has recorded at least one Single in seven of the Blue Jays' last eight night games against AL East opponents that held a winning record.,Record
Fionn Hand bowled Ben Stokes,Non Record
"Pakistan is currently ranked fifth on the points table, while South Africa is ranked second.",Non Record
Dodgers' starting pitching strength highlighted by Jack Flaherty and Yoshinobu Yamamoto,Non Record
Pakistan (probable XI): 1 Mohammad Rizwan (wk) 2 Saim Ayub 3 Babar Azam (C) 4 Fakhar Zaman 5 Usman Khan 6 Shadab Khan 7 Imad Wasim 8 Shaheen Afridi/Abbas Afridi 9 Naseem Shah/Abrar Ahmed 10 Haris Rauf 11 Mohammad Amir.,Non Record
"The T20I series ends in a draw, with both teams winning one match each.",Non Record
Freddie Freeman's walk-off grand slam in game one was the first in World Series history.,Record
Lesotho is the lowest-ranked team to qualify directly for the AFCON qualifiers group stage.,Record
"Adames’ home run was his 13th three-run homer of the season, which ties the major-league record set by Ken Griffey Jr. in 1996.",Record
"Chourio is the second-youngest player to homer twice in a postseason game, behind 19-year-old Andruw Jones for Atlanta in the 1996 World Series opener at Yankee Stadium.",Record
Brayan Rocchio had an RBI single for the go-ahead run.,Non Record
India posted a score of 182/4 in their allotted 20 overs.,Non Record
Catcher Martín Maldonado commented on Cristian Javier's struggles with command and off-speed pitches.,Non Record
Rohit Sharma breached past 4000 runs in T20Is.,Record
Bo Bichette has scored a run in each of his last seven Thursday night appearances.,Non Record
"The White Sox had lost Chris Flexen's previous 20 starts, which is a major league record.",Record
The average first-innings score at this venue in the last 20 matches is 148 runs.,Non Record
"Bobby Miller gave up seven runs, including five in the first inning.",Non Record
Each of the Giants' last four games against AL East opponents has gone OVER the total runs line.,Non Record
Steven Kwan has recorded at least one Single in each of his last four appearances against opponents that held a losing record.,Record
"Kyle Schwarber hit a leadoff home run during the game against the Miami Marlins on September 6, 2024.",Record
This initiative aims to encourage supporters to rally behind Team USA as they embark on their inaugural campaign at the ICC Men’s T20 World Cup.,Non Record
The crucial seven-match series will be played at two venues in Pakistan; Karachi and Lahore.,Non Record
"The Mets' bullpen has been mostly reliable this season, with depth that allows them to manage leads effectively.",Non Record
Cardinals' LHP Steven Matz was activated after completing rehab from a back injury.,Non Record
Tommy Pham has scored at least one run in each of his last four appearances against the Pirates.,Non Record
"The pickoff-caught stealing in the first inning was the first time Trea Turner was caught stealing all season. Including the postseason, he had stolen 40 consecutive bases without being caught. This is the third-longest span in major league history, tied with former Phillie Jimmy Rollins (2007-08).",Record
Rookie shortstop Brayan Rocchio and right fielder Will Brennan committed run-scoring errors for the Guardians.,Non Record
"The USA vs Ireland T20 World Cup 2024 match was washed out due to wet conditions at the Central Broward Park & Broward County Stadium, which proved to be a major setback for Pakistan as they are eliminated from the T20 World Cup 2024.",Non Record
India recorded their highest partnership in T20Is with Rohit Sharma and Rinku Singh.,Record
"Cleveland earned its first playoff win when facing elimination since Game 6 of the 1997 World Series in Florida. The Guardians had dropped 11 consecutive postseason elimination games since then, the longest such losing streak in MLB history.",Record
"In all best-of-seven postseason series, teams taking a 2-0 lead have gone on to win the series 76 of 91 times (84%). Under the current 2-3-2 format, teams winning the first two games at home have gone on to take the series 44 of 55 times (80%).",Non Record
It was the first time in franchise history the Phillies had struck out 16-plus times in consecutive games.,Record
The remade bullpen did the job.,Non Record
Ireland's hopes of capitalising on their shock victory over England at the T20 World Cup were dealt a setback following a washout against Afghanistan at a gloomy MCG.,Non Record
"Shohei Ohtani, Mookie Betts, and Freddie Freeman hit consecutive home runs to lead off the game.",Non Record
"Although they have had trouble winning recently, Afghanistan still has a good record against Ireland overall. They’ll want to capitalize on Ireland’s supposedly weak spot against fast bowling.",Non Record
"The Astros have had five no-hit bids of at least seven innings this year, tying the 1989 Rangers and 1965 Reds for the most in one season in the expansion era.",Record
"Kyle Hendricks became the first Cubs pitcher in history to toss at least six innings while allowing two or fewer hits and one or fewer runs in a start at Coors Field, which opened in 1995.",Record
"New Zealand's 99 was their joint eighth lowest score in a completed innings in T20 international and it is their worst-total against India in T20Is, previous lowest was 111 at Kolkata in 2021.",Record
"Reynaldo Lopez posted a historic ERA of 2.00, the seventh lowest in Braves franchise history for a season with a minimum of 130 innings pitched.",Record
The Phillies have been getting a lot of production from players who spent most of the year at Triple-A Lehigh Valley.,Non Record
India achieved its highest total of the tournament so far with 181 for eight.,Record
Athletics' RHP Osvaldo Bido was placed on the 15-day injured list with right wrist flexor tendonitis.,Non Record
"Looking at the latest head-to-head odds, PointsBet currently has the Braves at $1.69 and the Cubs at $2.25.",Non Record
The Texas Rangers are through to their first World Series since 2011 with an 11-4 victory over the Houston Astros in game seven of the American League Championship Series.,Non Record
Glenn Phillips and Daryl Mitchell put together an 84-run partnership in the next 10.5 overs.,Non Record
Johan Rojas became the first Phillie this season to double three times in the same game.,Record
Quinton de Kock's 49 runs in the Powerplay are the most by a South African batter at a Men's T20 World Cup.,Record
Jazz Chisholm Jr became only the second player since 1900 to both hit a grand slam and steal three bases in a single game.,Record
Jose Ramirez is hitting just .143 (2-14) in this series but he did hit his 1st home run of the series in Game 4.,Non Record
New Zealand are a win away from winning their ongoing five-match T20I series against Pakistan.,Record
"Afghanistan captain Mohammad Nabi commented, 'Most of the players are disappointed, not having played on such a fantastic ground [the MCG], but the weather is not in our control, so we have to accept it. We look forward to the future games and hope to win.'",Non Record
Anthony Volpe became the first player in World Series history to log four RBIs and two steals in a game.,Record
"Bhuvneshwar Kumar, Arshdeep Singh, and Mohammed Shami took key wickets during the powerplay.",Non Record
Bobby Witt Jr. delivered the go-ahead single in both games.,Non Record
José Ramírez was intentionally walked for a franchise-record 88th time.,Record
"The match was played on a fresh surface, the fourth drop-in pitch at Nassau County.",Non Record
Jacob Stallings' RBI double in the ninth inning helped the Colorado Rockies beat the Detroit Tigers 4-2.,Non Record
"Triston Casas reflected on a fielding error, 'Hard hit. It hit the grass and then popped up, and I anticipated the next hop being just as high, and it just stayed down.'",Non Record
Red Sox manager Alex Cora acknowledged Skubal's talent and emphasized the need for the Red Sox to win the next game.,Non Record
"Marcus Stoinis, who hit Australia's fastest ever 50 against Sri Lanka last week, scored 25 runs.",Record
Muhammad Ali’s only goal in injury time helped Iraq stun Vietnam 1-0 in a Group F match of the second qualification round of the 2026 FIFA World Cup at Hanoi’s My Dinh National Stadium on November 21 evening.,Non Record
Pakistan captain Babar Azam: 'The pitch is not easy to bat on. It was a little bit two-paced. Me and Mohammad Rizwan decided to go long but unfortunately we didn't go much further. But it was good to see Muhammad Haris show some aggression. We enjoyed the [Netherlands] win. But we are sticking together now. We will get together and discuss our mistakes but also positive things. We are looking forward to the semi-finals. The team and staff are excited.',Non Record
Roberto Alvarado set up Orbelín Pineda's goal with a well-placed header.,Non Record
Masataka Yoshida has recorded at least one total base in each of the Red Sox's last 13 games against the Blue Jays at Fenway Park.,Record
"There may be transactions before the game, such as activating Brent Suter to replace Casey Legumina or recalling Yosver Zulueta or Connor Phillips to log some innings in relief.",Non Record
"In the process of making 165, Gill and Jaiswal equalled the record for the second highest opening alliance for India in T20Is. They are now tied with Rohit Sharma and KL Rahul who made 165 against Sri Lanka at Indore in Sri Lanka in 2017.",Record
Frankie Montas will take the ball for Milwaukee in this do-or-die game.,Non Record
Bryan Reynolds hit a home run in the 1st inning with 0 on and 1 out to Deep RF.,Non Record
Afif Hossan scored 38 off 27 balls.,Non Record
"The White Sox remain tied with the 1962 New York Mets for the most losses in one season, avoiding breaking the all-time loss record.",Record
"Dusty Baker highlighted the team's achievements over the past four years, including two World Series appearances and two Championship Series appearances.",Non Record
Ohtani hit a three-run home run in the ninth inning.,Non Record
Stats Insider's predictive analytics model currently gives the Phillies a 61% chance of winning against the Rays at Citizens Bank Park.,Non Record
Anrich Nortje took 2 wickets for 17 runs.,Non Record
Dave Roberts mentioned he wouldn’t be managing the Dodgers any differently this week despite the crucial stretch of the season.,Non Record
"""Yeah, we've been quite lucky. We played them a couple of weeks ago back home in Ireland. It's been a challenge from a preparation point of view. We haven't trained at all since we were down in Florida last week, so I mean, that is what it is. We've been having our unit meetings and our preparation meetings and just going over some of those plans that we've managed to execute pretty well back home and won the first game. We can piggyback on that, and so that for a little longer period, and hopefully we can go well again,"" Heinrich Malan said on preparations for Pakistan game.",Non Record
Tommy Pham has recorded a Double in three of his last four appearances against NL Central opponents at PNC Park.,Record
"Anrich Nortje finished his four overs with figures of 2 for 17, becoming one away from the joint leading wicket-taker at the tournament.",Record
The Astros are headed to the postseason for the eighth year in a row.,Record
Finn Allen is the key wicket for New Zealand,Non Record
Steve Cohen reflected on Lindor's foundational role in the team.,Non Record
India have struggled in the big knockout games in ICC events in the last decade.,Non Record
"Phil Salt's assault on Romario Shepherd, striking the seamer for 30 runs in one over, was a key moment.",Non Record
Anthony Banda pitched 1⅓ scoreless innings for the win.,Non Record
Guyana has conceded ten goals in its last five matches and needs to avoid conceding more.,Non Record
The Athletics have a 32-58 record in games when they have allowed a home run.,Non Record
Suryakumar Yadav highlighted the importance of backing skills and learning from every game.,Non Record
"Both the West Indies and India teams arrived on Friday morning last ahead of the second T20 battle at the Guyana National Stadium, Providence set to be played today.",Non Record
England became the first men's team to hold both the T20 and 50-over World Cup titles simultaneously.,Record
Aroldis Chapman is now tied for the most strikeouts in a single season by a left-handed Pirates reliever.,Record
"Bobby Witt Jr. became the first shortstop in the history of the Major Leagues to record multiple 30-homer, 30-stolen base seasons.",Record
Indonesia wins by the minimum to Vietnam.,Non Record
India's 208 was their seventh highest score at their home venue in T20 international and their second highest total at Mohali in T20Is.,Record
TJ Friedl has recorded at least one hit in each of the Reds' last seven road games against opponents that held a winning record.,Record
"England's explosive batting line-up had not fired in the World Cup so far, and they were looking to make amends.",Non Record
"Rawlins expressed happiness about playing Canada first, citing good preparation and training leading up to the match.",Non Record
"Freddy Peralta expressed excitement about his performance, noting his fastball was key.",Non Record
"The Mets were concerned about how to handle Shohei Ohtani, especially in the later innings due to their limited left-handed relievers.",Non Record
"Suarez has touched home plate at least one time in 59 out of 150 games this season (39.3%), with more than one run scored in 18 of them (12.0%).",Non Record
Giancarlo Stanton has recorded at least one RBI in each of his last seven road appearances against AL Central opponents that held a winning record.,Record
Vinnie Pasquantino has recorded at least one Single in each of his last six road appearances against opponents that held a losing record.,Record
Australia is in excellent shape following a big win in the first match.,Non Record
Oneil Cruz has recorded an RBI in each of his last five home appearances.,Record
Andre Russell had a strike rate of 207.89 in T20s this year.,Record
"Last night, the Texas Rangers took a 2-1 lead over the Arizona Diamondbacks in the World Series.",Non Record
Varun Chakaravarthy dismissed Litton Das on his first ball.,Non Record
Each of the Mets' last four games have gone UNDER the total runs line.,Non Record
"Brayan Bello, who has posted one win in his last seven starts, will take the mound for the Sox.",Non Record
Taskin Ahmed was named Player of the Match for his performance of 3 wickets for 19 runs.,Non Record
Babar Azam credits his bowlers and says the team performed very well in the last three matches and then today.,Non Record
The game went into 13 innings before the Angels secured the win.,Non Record
"Expect a closely contested match, with India likely to emerge victorious due to their stronger overall performance in the series.",Non Record
The Rays scored their two runs on an RBI single by Taylor Walls and a solo home run by Jonathan Aranda.,Non Record
Alex Hales scored 47 runs.,Non Record
The Dodgers are selling a deep-fried peanut butter and Nutella sandwich at World Series games.,Non Record
Suarez is 1-for-7 in his career versus Frankie Montas and 0-for-3 when matching up against Montas this season.,Non Record
70’ RED CARD! Tanzania (Miroshi): A reckless sliding challenge is correctly punished as Miroshi picks up his second yellow of the game reducing Tanzania to ten men.,Non Record
Jason Holder took 4-7 as England were bowled out for 103.,Non Record
"On Friday, Canada became the first team to score more than 100 in New York, and defended their score of 137 by 12 runs against Ireland on pitch No. 4",Record
"Charlie Blackmon's two-run home run in the second inning was the 227th of his 14-year career, tying Carlos Gonzalez for the fifth in franchise history.",Record
Ravi Bishnoi became India's youngest bowler to reach 50 T20I wickets.,Record
"Bangladesh has also displayed commendable form, winning four out of their last five matches.",Non Record
"Outside the powerplay was always going to be the challenge, credit to Australia - their seamers were very consistent - making us hit to the long side. We came second today, but it’s all laid out for us, what we need to do.",Non Record
Bangladesh suffered heartbreak again.,Non Record
"The match was held at Grand Prairie Stadium, Dallas.",Non Record
Cameron Green and Aaron Hardie hit Sam Curran for 20 off the final over.,Non Record
Emmanuel Rivera hit a leadoff homer in the third inning for the Orioles.,Non Record
"The New York Mets were able to win game one of this series on Tuesday, but they blew a late lead on Wednesday in their game two loss.",Non Record
The Giants are going with Kyle Harrison as the starting pitcher. This year in 22 starts Harrison is 7-5 with a 4.00 ERA.,Non Record
The Royals have led after 3 innings in each of their last four games against the Guardians at Kauffman Stadium.,Non Record
Mark Watt took 2 wickets for 13 runs in 2 overs.,Non Record
"WICKET! Williamson c Rashid b Stokes 40 (40 balls), New Zealand 119-3",Non Record
"The worst record in a 162-game season belongs to the 2003 Detroit Tigers, who went 43-119. The White Sox would have to go 12-12 down the stretch to tie that record.",Record
"Senegal's squad includes key players like Sadio Mane, Nickolas Jackson, Pape Gueye, Ismaila Sarr, and captain Kalidou Koulibaly.",Non Record
"With the win, India have one foot into the semi-finals spots with a massive NRR boost. India will qualify for the semi-final if Afghanistan beat Australia on June 23.",Record
Mayank Yadav becomes the third Indian bowler to bowl a maiden over in a Twenty20 International on debut.,Record
Scotland chased down the target in 18.3 overs.,Non Record
Yandy Diaz has recorded at least one Single in seven of his last eight road appearances against opponents that held a winning record.,Record
Daulton Varsho has reached 500 strikeouts in his career.,Record
Jackson Chourio has recorded at least one RBI in each of the Brewers' last four home games against NL West opponents.,Record
"Tarik Skubal allowed a run on Jordan Beck’s third-inning home run, a hanging curveball sent deep to left.",Non Record
Freddie Freeman expressed determination to be ready for the NLDS despite his sprained ankle.,Non Record
"Daryl Mitchell praised Glenn Phillips' performance, calling it 'unbelievable'.",Non Record
Blake Perkins has recorded at least one Single in seven of his last eight appearances against NL West opponents.,Record
Juan Soto has recorded at least one Single in each of his last seven appearances with his team as a favorite against the Cardinals.,Record
Pete Alonso hit a home run to start off the scoring in the 2nd inning and they never looked back on the way to the win.,Non Record
"Justin Turner has been on fire against the Yankees this season, batting .395 with 15 hits, 14 RBI, 7 runs, and 4 home runs.",Non Record
Rilee Rossouw became the first South African batter to score a century in T20 World Cup.,Record
Liam Livingstone took 3-17 in three overs and missed a hat trick.,Non Record
"Attendance for the game was 41,731.",Non Record
"Scotland Probable XI: George Munsey, Michael Jones, Richie Berrington (c), Brandon McMullen, Michael Leask, Matthew Cross (wk), Jack Jarvis, Christopher Sole, Chris Greaves, Mark Watt, Brad Wheal",Non Record
The Red Sox went 0-for-11 with runners in scoring position and left seven men on base.,Non Record
The all so familiar feeling of desolation had once again engulfed the South African faithful as a helpless Protea outfit succumbed to a thirteen run defeat.,Non Record
Colt Keith finished 2-for-4 with two RBIs.,Non Record
Bobby Witt Jr. became the first shortstop in major league history with multiple seasons of at least 30 homers and 30 steals.,Record
‘Ageless’ Shoaib Malik captained Pakistan in the inaugural T20 World Cup final against India.,Non Record
Kansas City Royals first baseman Vinnie Pasquantino had to leave the game on Aug 29 due to a broken thumb after a collision with Houston Astros catcher Yainer Diaz.,Non Record
Paul DeJong has hit a home run in four of his last five appearances against AL opponents.,Record
Manny Machado reflected on the importance of not retaliating against star players like Shohei Ohtani.,Non Record
"Wanindu Hasaranga had a pretty good campaign in the recent LPL, where he picked 10 wickets at an economy of 6.41. He also smashed 77 not-out in just 34 balls in Qualifier 2. Hasaranga has a terrific record in T20I cricket with 86 wickets in 52 matches at 6.67 rpo, striking every 13 balls.",Non Record
Michael Bracewell has been appointed as the captain of the New Zealand team for the series.,Non Record
"Sam Curran dismissed Glenn Phillips, effectively ending New Zealand's hopes.",Non Record
The match will be live-streamed on the FanCode app and website.,Non Record
"Mark Wood, the fastest bowler of this World Cup so far, has six wickets.",Record
India recorded its highest T20I score of 297.,Record
Rhys Hoskins has recorded at least one RBI in each of his last six home appearances against the Cardinals.,Record
Afghanistan won the toss and opted to field.,Non Record
Bangladesh were limited to 127 for eight from their 20 overs.,Non Record
Jack Flaherty denied intentionally hitting Tatis and explained his pitching strategy.,Non Record
Canada recorded their first-ever win in T20 World Cup.,Record
The White Sox avoided a record-breaking 121st loss for the second straight game.,Record
Paul Goldschmidt has recorded at least one Double in each of the Cardinals’ last five games against opponents that held a winning record.,Record
"Red Sox manager Alex Cora praised Tarik Skubal, calling him probably the best pitcher in the American League.",Non Record
"Red Sox manager Alex Cora commented, 'We’re running out of time.'",Non Record
Dansby Swanson has recorded at least one hit in each of his last nine appearances against NL opponents.,Record
"Pirates: 3B Ke'Bryan Hayes has had multiple doctors look at his lower back, with no definitive diagnosis.",Non Record
"Australia scored the highest T20I total (201/7) at this ground, whereas Bangladesh scored the lowest T20I score (153/6).",Record
New Zealand recovered from 15-3 to post 167-7,Non Record
Schwarber’s homer was his fifth in the NLCS and 20th of his postseason career.,Record
Kansas City Royals extended their losing streak to a season-high seven games.,Record
Yamamoto pitched five shutout innings against the Padres in the NLDS clincher.,Non Record
Mets manager Carlos Mendoza looked forward to returning to Citi Field for Game 3.,Non Record
Rain prevented Uganda from doing any skill work on the Sunday before the match.,Non Record
"The Boston Red Sox will look to Tyler O’Neill for continued offensive production when they take on Juan Soto and the New York Yankees on Saturday, in the third game of a four-game series at Yankee Stadium.",Non Record
Fazalhaq Farooqi dismissed Cameron Green.,Non Record
"Bobby Witt Jr., and the Royals beat the Twins on Friday night to pass Minnesota for the second AL wild-card spot.",Record
West Indies won by 5 wickets with 5 balls remaining.,Non Record
The teams meet Friday for the 11th time this season. The Dodgers lead the season series 7-3.,Non Record
Arshdeep Singh picked up two wickets for India.,Non Record
Fernando Cruz expressed that the loss was a collective effort and praised Pagán's contributions.,Non Record
The match serves as a chance for misfiring openers Sanju Samson and Abhishek Sharma to come good.,Non Record
H. Kyprianou received a yellow card at the 33rd minute.,Non Record
Mark Vientos became the youngest player in National League history to have three extra-base hits in a postseason game.,Record
Their home struggles continued and they had to watch the Rangers celebrate winning the AL Pennant on their own field.,Non Record
Giancarlo Stanton homered for the Yankees.,Non Record
"Shohei Ohtani stole his 56th base of the season, tying him with Ichiro Suzuki for the most in a season by a Japanese-born player.",Record
Morocco equalled the biggest winning margin in 2025 qualifying after South Africa set the benchmark with a five-goal drubbing of Congo.,Record
Iftikhar Ahmed scored 37* off 15 balls,Non Record
David Miller scored 59 runs off 46 balls.,Non Record
"All-Star left fielder Steven Kwan missed his third straight game with mid-low back tightness, but remains day to day.",Non Record
The video board operator at Angel Stadium displayed 'Used to work here' under Ohtani's name during the fifth inning.,Non Record
"The Yankees are second in the majors in runs scored this year while sitting ninth in batting average, second in on-base percentage, and second in slugging.",Non Record
Colin Ackermann scored 41* off 26 balls.,Non Record
Jazz Chisholm Jr. hit a grand slam for the second consecutive game.,Record
"Ronel Blanco pitched five scoreless innings, walking four hitters and striking out three.",Non Record
Rahmanullah Gurbaz and Ibrahim Zadran struck the second-highest opening stand in T20 World Cup history with a 154-run partnership.,Record
"The flags at Dodger Stadium were at half-mast in honor of Fernando Valenzuela, who passed away earlier in the week.",Non Record
India's 100 runs in 8.4 overs is their fastest in T20 World Cups.,Record
Mahmudullah was the only Bangladesh batter to make a substantial score in the second T20I,Non Record
Kiké Hernández hit a two-run homer in the seventh inning.,Non Record
Wilyer Abreu tied the game with a solo home run with two outs in the sixth.,Non Record
"The Netherlands successfully chased Nepal's target of 107 runs, finishing at 108/4 in 18.4 overs.",Non Record
India plundered 73 runs from the last five overs.,Non Record
USA advance to the Super Eight of the T20 World Cup 2024 as they share a point each with Ireland.,Non Record
Hardik Pandya snagged three wickets.,Non Record
Saim Ayub scored 45 off 29 balls.,Non Record
"For Sri Lanka, the opening pair of Pathum Nissanka and Kusal Mendis have provided fantastic starts at the top of the order in the first two T20Is, but the rest of the batting lineup has failed to capitalise on it.",Non Record
The Angels tied the game with a squeeze bunt in the eighth inning.,Non Record
Fernando Cruz started for the Reds due to a shortage of starting pitchers.,Non Record
Corey Seager hit his 30th home run of the season.,Record
Gerardo Arteaga scored the winning goal for Mexico.,Non Record
"Shakib Al Hasan set a new T20I record for Bangladesh, becoming the country's first batter to score more than 2,500 runs in men's T20Is.",Record
