Statements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Sport
Dasun Shanaka equalled the joint second most sixes hit in an innings for Sri Lanka in T20 internationals with 6 sixes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , cricket
Jung Hoo Lee has recorded at least one Single in seven of his eight previous road appearances against NL opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
"The Chicago White Sox averted a record-breaking loss for the third straight day, beating the Los Angeles Angels 7-0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ", baseball
Jon Singleton has recorded at least one RBI in each of his three previous appearances at Progressive Field against AL opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
"Oman recorded their lowest completed total in T20Is, being bowled out for 47.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ", cricket
"Shohei Ohtani, Mookie Betts, and Freddie Freeman started the game with consecutive home runs, the first time that has happened in the Dodgers' history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ", baseball
Mohammad Nabi needs 123 runs and eight wickets to complete the double of 2000 runs and 100 wickets in T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , cricket
"This was PNG’s second appearance in a world tournament, having lost all three matches in their debut appearance at the 2021 T20 World Cup.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", cricket
Moeen Ali needs two more wickets to reach 50 in T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , cricket
Virat Kohli equalled Rohit Sharma's record for the most number of fifty-plus scores in T20I cricket with his 31st fifty.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , cricket
Ohtani is three homers and two stolen bases away from achieving the first 50-50 season in MLB history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
Zeeshan Maqsood needed two more wickets to become the second Oman player with 50 T20I wickets after Bilal Khan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
"Rohit Sharma scored his 5th T20 century, becoming the only batter with 5 centuries in T20 cricket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", cricket
Zack Wheeler achieved his 100th career win.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
Mohammad Rizwan equalled Babar Azam's record as the fastest man to 2000 T20I runs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , cricket
Shadab Khan's economy rate of 5.43 is the best among Pakistan players at this Asia Cup.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , cricket
Jonathan India has recorded a Double in three of his last four road appearances against the Cubs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , baseball
Moeen Ali was named Player-of-the-Match for his all-round performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , cricket
St Lucia has been the most batting-friendly venue of this T20 World Cup in terms of both scoring rate (8.92) and average (28.76)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , cricket
Aaron Judge's home run was the second-fastest home-to-home speed of his career.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
"The Phillies improved to 34-1 this season when a starting pitcher goes at least seven innings, including 34 straight. That's the longest streak in Phillies history and second-longest in major league history behind the 1942 Cardinals (42 straight).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ", baseball
Willy Adames has recorded at least one hit in each of the Brewers' last six home games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , baseball
"Sri Lanka's batting lineup collapsed for a record low in T20I history, scoring just 77 runs against South Africa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ", cricket
Isiah Kiner-Falefa has recorded at least one Single in eight of his last nine appearances against AL Central opponents.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , baseball
Lockie Ferguson became the second bowler to deliver four maidens in a T20I fixture.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
Alex Bregman has recorded at least one hit in each of his last 10 appearances in day games against AL Central teams that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
"Rhys Hoskins' first-inning drive was his third grand slam and Milwaukee's 10th of the season, both tying franchise records.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ", baseball
Paul Goldschmidt has recorded at least one RBI in each of the Cardinals' last four night games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
Milwaukee Brewers became the first major league team to clinch a postseason spot in 2024                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
The 1899 Cleveland Spiders hold the MLB loss record at 20-134.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
"Austin Riley became the third Braves player to reach 35 homers in a season, tying the MLB record for most players with 35 homers on one team in a season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ", baseball
"Jackson Chourio is the second-youngest player in postseason history with a multi-homer game at 20 years and 205 days, older than only Andruw Jones.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ", baseball
Dasun Shanaka's 20-ball fifty is the fastest by a Sri Lankan batsman in T20 international cricket history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Finn Allen equalled the world record set by Hazratullah Zazai of Afghanistan of 16 sixes in a T20I innings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , cricket
Fernando Tatis Jr. became the first visiting player to hit multiple Statcast-tracked home runs of at least 445 feet at Dodger Stadium.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
Max Muncy tied Corey Seager and Justin Turner for the most postseason home runs as a Dodger in franchise history with his 13th home run.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
"Yuzvendra Chahal needs five wickets to become the first Indian, and eighth overall, to take 100 T20I wickets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ", cricket
"Jose Iglesias hit a leadoff homer in the first inning, extending his hitting streak to 14 games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ", baseball
Alex Bregman has recorded at least one total base in each of his last 10 appearances in day games against AL Central teams that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
The Brewers' victory kept them 10 games up on the Cubs in the National League Central standings and tied with the Phillies for the second-best record in the NL.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , baseball
India lose top spot in Group 1 after 5-wicket defeat to South Africa.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , cricket
"India posted the highest total for a team after being four down for 25 or less, reaching 212/4.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ", cricket
The Braves became the third team in AL/NL history to belt 300 home runs in a season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Ruben Trumpelmann became the first bowler in men's T20I to pick up two wickets in the first two balls of the match.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
Chicago White Sox set the post-1900 record for losses with 121.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
South Africa's 3 for 3 against Netherlands was their lowest score for the loss of three wickets in a T20I                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , cricket
Adil Rashid's bowling figures of 4/11 are among the best in T20I history for England.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , cricket
Arshdeep Singh is India's highest wicket-taker in this World Cup with 12 strikes at the rate of one every 10 balls                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , cricket
Parker Meadows tied Charlie Gehringer for the longest hitting streak to start a postseason career in Tigers history with hits in all seven postseason games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
Vadim Rata scored the only goal of the match in the 10th minute to secure a 1-0 victory for Moldova over San Marino.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , soccer
"The Yankees became only the fourth team in baseball history and the first since 1970 to avoid a sweep in the World Series when down, 3-0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ", baseball
India registered their biggest ever win in terms of runs in T20I format with a 168-run victory over New Zealand.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , cricket
José Leclerc struck out two in a perfect ninth for his fourth save this postseason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , baseball
